ts,iso,hour_bucket,symbol,market_id,mark_price,index_price,last_trade_price,basis_bps,open_interest,oi_notional,daily_quote_volume,daily_base_volume,daily_trades,daily_price_low,daily_price_high,daily_price_change,funding_rate,funding_exchange,funding_clamp_small,funding_clamp_big,base_interest_rate,best_bid,best_ask,spread_bps,bid_sz_l1,ask_sz_l1,bid_base_top50,ask_base_top50,depth_imb_top50,bid_notional_band,ask_notional_band,depth_imb_band
1788710407,2026-09-06T16:00:07.099668+00:00,2026-09-06T16,USAR,21,17.7,17.7,17.68,0.0,15375.345,272143.61,97697.102152,5512.615,101,17.639,17.781,0.0,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788710407,2026-09-06T16:00:07.099668+00:00,2026-09-06T16,NEAR,7,2.3879,2.388,2.3887,-0.419,69088.34,164976.05,610317.25228,261886.86,1224,2.1644,2.4824,6.163622628094032,9.599999999999999e-05,lighter,0.05,4.0,0.01,2.3908,2.3935,11.287,303.08,1280.92,144219.25,132949.5,0.0407,64623.37,36914.86,0.2729
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,PONS,44,0.81643,0.81669,0.81783,-3.184,357616.3,291968.68,1203880.185377,1346116.0,10903,0.782,0.97999,-14.554991327607464,9.599999999999999e-05,lighter,0.05,4.0,0.01,0.81496,0.81782,35.032,577.7,981.5,213040.8,204639.7,0.0201,1464.35,4493.84,-0.5085
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,SGOV,27,100.48,100.48,100.48,0.0,2471.588,248345.16,156725.173551,1559.6317999999999,43,100.48,100.5,0.0,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,PLTR,34,175.867,175.909,175.907,-2.388,1521.727,267621.56,200379.330106,1137.3,254,175.622,177.206,0.10926784850468088,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,BE,20,267.16,267.19,267.14,-1.123,704.8102,188297.09,454016.773445,1702.5662,685,264.49,268.55,0.697350069735007,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,CRCL,24,103.512,103.453,103.49,5.703,6937.905,718156.42,1044976.354375,10095.505,4602,101.364,105.28,1.3147718484145399,8e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,QQQ,25,720.39,720.3,720.55,1.249,37802.1028,27232256.84,14497678.583591,20103.0123,42643,719.67,722.06,-0.06657143253401385,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,INTC,30,97.08,97.03,97.05,5.153,4969.2899,482418.66,238840.589648,2471.6242,377,96.15,97.05,0.7265179034769071,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,SHEIN,43,4.956,4.9544,4.9515,3.229,11259.9,55804.06,95760.15469,19259.8,293,4.9459,5.0133,-0.5682959154986144,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,USAR,21,17.715,17.713,17.68,1.129,15375.345,272374.24,97697.102152,5512.615,101,17.639,17.781,0.0,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,AMD,29,477.82,477.55,477.76,5.654,543.3791,259637.4,113442.821059,237.8428,149,475.18,478.66,0.3908384114309729,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,SLV,28,60.012,60.016,59.904,-0.666,1322.355,79357.17,30195.410849,503.553,101,59.904,60.051,-0.24479192686216716,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,SUI,9,0.79919,0.79918,0.79926,0.125,129206.2,103260.3,225263.64949799998,282006.0,538,0.78389,0.81231,-0.36897609134651344,9.599999999999999e-05,lighter,0.05,4.0,0.01,0.79896,0.79946,6.256,5006.6,5003.4,402107.9,399130.8,0.0037,117771.05,82239.05,0.1777
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,MSFT,14,501.84,501.99,501.75,-2.988,833.9798,418524.42,191252.676788,381.0369,3241,500.6,503.05,0.16769479547224053,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,WULF,55,16.527,16.527,16.455,0.0,299.866,4955.89,5171.882655,313.531,8,16.455,16.528,-0.3934624697336562,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,ETH,0,2484.53,2484.5,2484.78,0.121,6321.8023,15706707.47,42496467.211567,17050.7411,47820,2462.0,2524.42,0.14791528122040182,9.599999999999999e-05,lighter,0.05,4.0,0.01,2484.4,2484.78,1.529,0.1006,0.11,511.0138,588.0456,-0.0701,1268975.44,1275394.29,-0.0025
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,ORCL,17,160.71,160.75,160.78,-2.488,1400.6001,225090.44,158266.15461599999,984.3189,185,159.77,161.32,0.5189121600500156,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
